"username","commentcount","likecount","type","description","pubyear","pubmonth","pubday","posturl"
"kamalaharris","1592","51590","Photo","Native Americans were here first. 
We made them many promises, but our nation has failed to fulfill our obligations to Tribal Nations. I released a plan that will honor tribal sovereignty and invest in Native American communities. (Link in bio)","2019","10","22","https://www.instagram.com/p/B378eVXFA-D/"
"kamalaharris","1554","76666","Video","I've always said that when you're campaigning, you meet the angels walking among us. That was certainly true yesterday.","2019","10","22","https://www.instagram.com/p/B37sb2UlZwB/"
"kamalaharris","2677","84370","Photo",,"2019","10","22","https://www.instagram.com/p/B37GO8flyQ-/"
"kamalaharris","385","7911","Video","These are the moments that test our faith.","2019","10","21","https://www.instagram.com/p/B34wDOfCPoe/"
"kamalaharris","518","19577","Video","I can't wait to try out these recipes. Thanks for making this birthday so incredibly special.","2019","10","21","https://www.instagram.com/p/B33MrZHiCuI/"
"kamalaharris","345","15222","Video","My birthday brother has the best smile in the world.","2019","10","20","https://www.instagram.com/p/B32ru00lIg8/"
"kamalaharris","392","38617","Photo","Every birthday is extra special when you share it with your niece. Happy birthday, Meena!","2019","10","20","https://www.instagram.com/p/B32fagyHIKc/"
"kamalaharris","279","16663","Photo","Nothing like an inspiring church service on your birthday. Thanks for the warm welcome Brookland Baptist Church.","2019","10","20","https://www.instagram.com/p/B32RtG-lJdy/"
"kamalaharris","3874","76912","Photo","Today’s Kamala's birthday. Join #TeamKamala by wishing her a happy birthday in the comments below!","2019","10","20","https://www.instagram.com/p/B312zsKFYTl/"
"kamalaharris","395","30982","Photo","The rain couldn't keep us away from @scstate1896 homecoming. Always a good time catching up with @cthagod.","2019","10","20","https://www.instagram.com/p/B30h-j4F11o/"
"kamalaharris","284","38374","Photo","My mother was a pioneering breast cancer researcher, so I grew up learning about the importance of screening and early detection. This Breast Cancer Awareness Month, I hope you’ll help help spread the word.","2019","10","19","https://www.instagram.com/p/B30OoOoF2ZG/"
"kamalaharris","272","12335","Video","You never know who you'll run into on the streets of Iowa.","2019","10","19","https://www.instagram.com/p/B3znFO7n-qv/"
"kamalaharris","217","10818","Video","Elijah Cummings was a great American who believed in love of country and working across the aisle in every way. I will miss him dearly.","2019","10","18","https://www.instagram.com/p/B3xk4NYlCR7/"
"kamalaharris","719","45262","Video","Honored you took my words to heart (and arm), @jaedyn01_ ♥️","2019","10","18","https://www.instagram.com/p/B3xK8R0lNVr/"
"kamalaharris","143","7963","Video","Our team was blessed to have Madeline Jackson, a 95-year-old supporter, marching with us at @Howard1867. Her joy was contagious.","2019","10","17","https://www.instagram.com/p/B3u8_R_Hcmc/"
"kamalaharris","836","36397","Photo","No one should ever be bullied or harassed because of how they identify or who they love. We are here for you. #SpiritDay","2019","10","17","https://www.instagram.com/p/B3ucOLKF001/"
"kamalaharris","524","28789","Photo","Rural America isn’t looking for more empty promises from their next president. I have a plan to create jobs through real investments, reverse the deeply harmful effects of the Trump Trade War, and increase access to critical infrastructure like broadband. [Plan in bio]","2019","10","17","https://www.instagram.com/p/B3uO1nyF4rq/"
"kamalaharris","764","16048","Video","I have personally hugged more mothers of homicide victims than I care to tell you and attended more police officer funerals than I care to tell you. ⁣
⁣
On this issue, I'm done.","2019","10","16","https://www.instagram.com/p/B3sRmc-ndPW/"
"kamalaharris","608","30839","Photo","Poor women and women of color will die because of restrictive reproductive health care laws. And we have not given nearly enough time to this issue. So, I brought it up. (Link in bio)","2019","10","16","https://www.instagram.com/p/B3rtzXHHhG9/"
"kamalaharris","2504","67685","Video","Republican legislatures need to keep their hands off of women's bodies.","2019","10","16","https://www.instagram.com/p/B3qX4TXFRkN/"
"kamalaharris","710","43587","Photo","Here we go!","2019","10","15","https://www.instagram.com/p/B3qF9G0B-s5/"
"kamalaharris","311","12123","Video","Our campaign relies on grassroots contributions. If you can, pitch in any amount that is meaningful to you to help power our movement. (Link in bio)","2019","10","15","https://www.instagram.com/p/B3pauQ-luWy/"
"kamalaharris","1044","22096","Video","When asked to name one thing Trump has done right as president, I found myself at a loss for words.","2019","10","14","https://www.instagram.com/p/B3mwtoglbes/"
"kamalaharris","250","9110","Video","You are not alone in this fight for a better future.","2019","10","13","https://www.instagram.com/p/B3kx-2hgETr/"
"kamalaharris","2242","60748","Photo","The officer gave Atatiana Jefferson four seconds to respond before shooting and killing her. Being Black in your own home shouldn't be a death sentence. #AtatianaJefferson","2019","10","13","https://www.instagram.com/p/B3ka-SDlqRe/"
"kamalaharris","724","70085","Photo","There’s no one I’d rather be with on this adventure. Happy birthday, @douglasemhoff!","2019","10","13","https://www.instagram.com/p/B3j1DhFFte0/"
"kamalaharris","384","30023","Photo","There’s nothing quite like Homecoming at @howard1867. I’m always renewed knowing this moment and this space was made for us, by us. (Link in bio)","2019","10","12","https://www.instagram.com/p/B3iKzzuFzMN/"
"kamalaharris","591","15591","Video","I will do everything in my power to ensure our youngest leaders can thrive.","2019","10","12","https://www.instagram.com/p/B3haxpDHELV/"
"kamalaharris","208","16554","Photo","Thank you, @humanrightscampaign, for lifting up LGBTQ+ issues.","2019","10","11","https://www.instagram.com/p/B3favlVFTX-/"
"kamalaharris","637","36107","Photo","It takes courage to tell the world who you are. This National Coming Out Day (and every day!) we are here when you’re ready.","2019","10","11","https://www.instagram.com/p/B3e4nPYlMkW/"
"kamalaharris","1200","53727","Photo","Today, I introduced a plan to ensure everyone in the LGBTQ+ community is able to live proudly and openly, without fear of discrimination. [Link in bio to read the plan]","2019","10","10","https://www.instagram.com/p/B3cL5C_HxoG/"
"kamalaharris","655","22097","Photo","It’s outrageous that nearly 1 in 5 American children live in poverty — and it’s even worse for our Black and Hispanic children. As president, I’ll combat this injustice head-on.","2019","10","8","https://www.instagram.com/p/B3X1iZiFdD8/"
"kamalaharris","375","13563","Video","These little moments of joy are my favorite on the campaign trail.","2019","10","8","https://www.instagram.com/p/B3XYlgxFubo/"
"kamalaharris","1574","71473","Photo",,"2019","10","8","https://www.instagram.com/p/B3XK3jFFnSn/"
"kamalaharris","344","18591","Photo","We have a responsibility to treat the children of our communities as if they are our own. [Link in bio to read my Children’s Agenda]","2019","10","7","https://www.instagram.com/p/B3VQt1gFPmK/"
"kamalaharris","344","18591","Photo","We have a responsibility to treat the children of our communities as if they are our own. [Link in bio to read my Children’s Agenda]","2019","10","7","https://www.instagram.com/p/B3VQt1gFPmK/"
"kamalaharris","344","18591","Photo","We have a responsibility to treat the children of our communities as if they are our own. [Link in bio to read my Children’s Agenda]","2019","10","7","https://www.instagram.com/p/B3VQt1gFPmK/"
"kamalaharris","344","18591","Photo","We have a responsibility to treat the children of our communities as if they are our own. [Link in bio to read my Children’s Agenda]","2019","10","7","https://www.instagram.com/p/B3VQt1gFPmK/"
"kamalaharris","800","30164","Photo","No one should be made to fight alone, least of all our children. In a Harris Administration, they'll have an advocate in the White House. (Link in bio)","2019","10","7","https://www.instagram.com/p/B3UwSXGle_Y/"
"kamalaharris","215","8767","Photo","This is our time. This is our moment. Click the link in bio to help us transform our country and rebuild our America.","2019","10","6","https://www.instagram.com/p/B3S3KJvlaqB/"
"kamalaharris","336","12692","Video","This weekend in South Carolina, I met Caroline, who's running for 8th grade class president. Young leaders like her inspire me every day.","2019","10","6","https://www.instagram.com/p/B3SWZe6hq2V/"
"kamalaharris","326","11771","Photo","Young people are at the forefront of our fight to end our country’s gun violence epidemic. Their determination and leadership is proof: this is a fight we will win.","2019","10","5","https://www.instagram.com/p/B3PYOKPl0h8/"
"kamalaharris","387","13914","Photo","Proud to have joined Nevada @uaw.union members on the picket line on strike against General Motors.

GM earned $35 billion in profits in just the last few years as they shut down plants. It is unacceptable. I stand shoulder to shoulder with these workers and their families.","2019","10","4","https://www.instagram.com/p/B3M7n5lFnRn/"
"kamalaharris","387","13914","Photo","Proud to have joined Nevada @uaw.union members on the picket line on strike against General Motors.

GM earned $35 billion in profits in just the last few years as they shut down plants. It is unacceptable. I stand shoulder to shoulder with these workers and their families.","2019","10","4","https://www.instagram.com/p/B3M7n5lFnRn/"
"kamalaharris","387","13914","Photo","Proud to have joined Nevada @uaw.union members on the picket line on strike against General Motors.

GM earned $35 billion in profits in just the last few years as they shut down plants. It is unacceptable. I stand shoulder to shoulder with these workers and their families.","2019","10","4","https://www.instagram.com/p/B3M7n5lFnRn/"
"kamalaharris","705","18317","Video","When people ask me if the country’s ready for you...","2019","10","4","https://www.instagram.com/p/B3MuTGUlvNk/"
"kamalaharris","793","54143","Photo","#Repost: @essence 
Welcome to the era where Black women reign supreme! For the first time in history Miss USA, Miss Teen USA, and Miss America are all Black women. However, let’s not forget that Black women have always had a rich legacy of crowning ourselves. “Pageants weren’t always welcoming to women of color. It took decades of persistence and courageous women showing the world a new kind of beauty.” Tap the 🔗 in bio for more on our digital cover with @CheslieKryst, @NiaimaniFranklin, and @Kalieghgarris. 📷: @timothy_smith_ ✍🏾: @michaelaangelad 👗: @dapperdanharlem","2019","10","4","https://www.instagram.com/p/B3LTav-hCSF/"
"kamalaharris","2113","89771","Photo","Donald Trump has completely trampled on the rule of law, avoided consequence and accountability under the law. I’m going to hold him and his entire Administration accountable.","2019","10","3","https://www.instagram.com/p/B3K-0YvlZUa/"
"kamalaharris","246","15973","Photo","Thank you @gabbygiffords for your courage and continued leadership on gun safety. You lift up everyone around you.","2019","10","3","https://www.instagram.com/p/B3Kb5uiB-b6/"
"kamalaharris","800","20875","Photo","Trump's tweets about the whistleblower represent a clear intent to harass, intimidate, or silence their voice. His blatant threats put people at risk — and our democracy in danger. His account must be suspended.","2019","10","2","https://www.instagram.com/p/B3HwgEMnr_U/"
"kamalaharris","1859","23337","Video","The words of a president matter. Trump has again shown he is irresponsible and endangering others with his tweets. He should lose the privilege to be on Twitter.","2019","10","1","https://www.instagram.com/p/B3FvvbMliez/"
"kamalaharris","398","18587","Photo","Two years ago today, our nation witnessed the worst mass shooting in modern American history. As we recall the horrific events of the Las Vegas shooting and the 58 people we lost, we also remember the courage and resilience of the first responders and everyday heroes who stepped up in the aftermath of tragedy. ⁣
⁣
It is on Congress to take up their courage and fight for common sense gun safety reforms. #VegasStrong","2019","10","1","https://www.instagram.com/p/B3FDBcUFFP9/"
"kamalaharris","639","15962","Photo","I’m running for president to fight the corruption we’re seeing from Trump and restore a government of, by, and for the people — which is why I’m not taking a dime from corporate PACs or federal lobbyists. Can you chip in $1, $5, or $10 now? Link in bio to give.","2019","9","30","https://www.instagram.com/p/B3Cfz7bHjvx/"
"kamalaharris","282","17902","Photo","To all who are celebrating Rosh Hashanah, wishing you a joyous and sweet new year. May it be filled with good health and happiness.","2019","9","29","https://www.instagram.com/p/B3Auaydl7QS/"
"kamalaharris","224","8683","Video","Honored to speak yesterday with members of the AAPI community at the International Hotel in San Francisco, the birthplace of the Asian American rights movement. Together we're fighting #ForThePeople.","2019","9","29","https://www.instagram.com/p/B3AdhnzAV-c/"
"kamalaharris","2572","97418","Video","That girl being played by Maya Rudolph on @nbcsnl?⁣
⁣
That girl was me.","2019","9","29","https://www.instagram.com/p/B3AH1tUlRbE/"
"kamalaharris","318","13333","Photo","I’m running for president for their future. Can you chip in $1 or $5 today? Let’s ensure our children can grow up in a world where they don’t have to worry about the climate crisis or lose sleep over mass shootings. [Link in bio to give]","2019","9","28","https://www.instagram.com/p/B2-K17uFdZ5/"
"kamalaharris","383","12540","Video","The current occupant of the White House is fanning the flames of hate in our country, making us more vulnerable to domestic terrorism.","2019","9","28","https://www.instagram.com/p/B29dD25FJWE/"
"kamalaharris","2647","126302","Photo","A year ago, Dr. Ford risked everything and courageously forced our nation to reckon with an issue that has too often been kept in the dark.⁣
⁣
I still believe her.","2019","9","27","https://www.instagram.com/p/B2617wSltEH/"
"kamalaharris","466","14646","Video","Kamala here! Our grassroots campaign is fueled by incredible leaders and your contribution of $5, $10, or even $20 makes a real difference to hiring more people on the ground. Link in bio to chip in now.","2019","9","26","https://www.instagram.com/p/B25A82SF3HC/"
"kamalaharris","282","16052","Photo","Throughout the rest of Hispanic Heritage Month, I want to lift up some of the people who have made significant contributions to their community and to the world. ⁣
⁣
Icon and legendary labor leader Dolores Huerta has fought for the social and economic conditions of farm workers all her life, playing a critical role in a strike against California’s grape growers, and later co-founding what would become the United Farm Workers.⁣
⁣
I’m incredibly thankful to have her support as we fight for the future of our nation.","2019","9","26","https://www.instagram.com/p/B24tBbZl-wH/"
"kamalaharris","965","26059","Photo","This is a cover-up. ⁣
⁣
[Link in bio to read the full whistleblower complaint]","2019","9","26","https://www.instagram.com/p/B24F4F8FuBN/"
"kamalaharris","2517","59193","Photo","They admit it: Trump pressured the Ukrainian president to work with the U.S. Attorney General to investigate a political opponent. He must be impeached.","2019","9","25","https://www.instagram.com/p/B21o29bH20C/"
"kamalaharris","802","23326","Video","It’s not Trump’s White House — it's the people's house.","2019","9","25","https://www.instagram.com/p/B21fFeqFy_G/"
"kamalaharris","1520","36209","Video","I’ve literally been carrying around a list of Donald Trump’s impeachable offenses. It’s long. Congress should stand up for the integrity of our democracy in this process and hold Donald Trump accountable.","2019","9","25","https://www.instagram.com/p/B20SRqMFpgZ/"
"kamalaharris","1787","86728","Photo","He must be impeached.","2019","9","24","https://www.instagram.com/p/B2zyanIBlp-/"
"kamalaharris","209","10679","Photo","Thanks to everyone who came out to @thewiltern last night. Together we can turn the page and write the next chapter for the America we believe in. But I can’t do it without you. Click the link in bio to contribute $1, $5, or whatever you can.","2019","9","24","https://www.instagram.com/p/B2zgBconjev/"
"kamalaharris","588","36306","Photo","If we’re going to flip state legislatures and the White House in 2019 and 2020, we’ll have to mobilize everyone we know. With our nation’s values under attack, sitting on the sidelines isn’t an option. ⁣⁣
⁣⁣
Link in bio to register to vote or double check your registration. #NationalVoterRegistrationDay⁣⁣","2019","9","24","https://www.instagram.com/p/B2zD7hqleq5/"
"kamalaharris","3552","136195","Photo","Trump is pressuring another foreign government to dig up dirt on a political opponent. 
We need a new commander in chief—and we need to absolutely begin impeachment proceedings. He’s gotta go.","2019","9","24","https://www.instagram.com/p/B2xyfjvF43W/"
"kamalaharris","1004","29048","Video","""I just don't want to die."" ⁣⁣
⁣⁣
Leaders in Congress who fail to have the courage to act on gun violence are traumatizing an entire generation of students.","2019","9","23","https://www.instagram.com/p/B2xPgOUFk2H/"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
"kamalaharris","243","17053","Photo","Iowa, it was good to be back. I’ll be seeing you a lot over the next month but we need your help to get us there: will you chip in $5 today to ensure our campaign can reach as many caucus-goers as possible? Link in bio to donate.","2019","9","23","https://www.instagram.com/p/B2wnln0ln9x/"
